Nivel,Tempo,Nos
1,0.000000,5
2,0.000000,9
3,0.003001,37
4,0.008998,123
5,0.003001,49
6,0.003000,31
7,0.018000,284
8,0.052988,728
9,0.128000,1686
10,0.168109,1921
11,0.108000,1421
12,0.021002,181
13,0.089000,553
14,0.050007,380
15,0.171993,1307
16,0.147001,909
17,0.093007,813
18,0.248993,1616
19,0.109000,808
20,0.068007,431
21,0.057000,379
22,0.429007,2138
23,0.177000,1140
24,0.229001,1274
25,5.192092,14148
26,1.171000,6268
27,0.478007,2769
28,0.504992,2777
29,0.378001,2761
30,0.335001,2279
31,0.738410,4409
32,0.418000,2341
33,0.027011,226
34,0.555592,3312
35,0.414998,2520
36,0.161000,994
37,0.041992,298
38,2.318006,9564
39,2.129995,7396
40,0.159000,1062
41,0.267000,1426
42,0.018003,151
43,0.165998,899
44,0.403941,2308
45,0.432009,2054
46,0.212000,1304
47,0.200999,1018
48,0.120001,664
49,0.164992,1175
50,0.398999,2174
51,0.398999,2147
52,0.837002,4292
53,0.554996,2962
54,0.336725,1956
55,1.164414,5392
56,1.044921,5340
57,0.374863,1953
Tempo Total: 24.502074